Facility_name,Million_gallons_per_day_flow,GHGI_emissions_mol_per_s,Moore_Emissions_mol_per_s,longitude,latitude,Source
BLOOMFIELD (V) WWTF,0.219506849315069,0.002846871773550972,0.0013804554639876877,-77.422083,42.904722,Discharge Monitoring Reports
BLOOMFIELD STP,0.108,0.001400695023881416,0.0005571167924024441,-77.181341,40.417236,Discharge Monitoring Reports
BLOOMFIELD TWP STP,0.1565,0.002029710844791126,0.0008954477081488318,-79.840033,41.795285,Discharge Monitoring Reports
BLOOMING GROVE TAPPAN HOMES SD,0.0294166666666667,0.00038151646869609597,0.00010551665315015809,-74.188861,41.406472,Discharge Monitoring Reports
BLOOMINGBURG (V) WWTP,0.0579082191780822,0.0007510347633756863,0.0002509820445449838,-74.432611,41.553917,Discharge Monitoring Reports
BLOOMSBURG STP,2.29195833333333,0.029725320670773513,0.027758026595648473,-76.459322,40.985131,Discharge Monitoring Reports
BLOSSBURG MUNICIPAL AUTHORITY WASTEWATER TREATMENT PLANT,0.49775,0.006455518038305323,0.003934759703056471,-77.072997,41.694168,Discharge Monitoring Reports
BLYTH TWP. MUN AUT WTP STP,0.0286666666666667,0.00037178941991914175,0.00010208719968081714,-76.133889,40.746111,Discharge Monitoring Reports
BOICEVILLE WWTP,,,,-74.267028,42.003278,Discharge Monitoring Reports
BOLIVAR (V) WWTF,0.171333333333333,0.002222090253935329,0.0010054363063825365,-78.175028,42.06425,Discharge Monitoring Reports
BONNEAUVILLE STP,0.44625,0.005787594022287796,0.003421637125512654,-77.14962,39.815021,Discharge Monitoring Reports
BOONSBORO WWTP,0.46,0.007105151023013112,0.0035570952779061986,-77.668705,39.506359,Clean Watershed Needs Survey
BOONSBORO WWTP,0.531666666666667,0.006895396799663147,0.004280989309074824,-77.67451,39.50743,Discharge Monitoring Reports
BORDENTOWN SEWERAGE AUTHORITY,1.708275,0.02215529899926876,0.01905806286463302,-74.70424,40.13642,Discharge Monitoring Reports
BORO OF CATAWISSA,0.0805555555555556,0.0010447570908580525,0.0003828658907536565,-76.4663,40.9512,Discharge Monitoring Reports
BOROUGH OF PALMERTON,0.5785,0.007502796956624066,0.004769257443488562,-75.605177,40.797227,Discharge Monitoring Reports
BOWMANSTOWN BORO STP,0.0551666666666667,0.0007154784767048595,0.0002358819717289882,-75.670777,40.804137,Discharge Monitoring Reports
BOYERTOWN BORO STP,0.561666666666667,0.0072844787507413186,0.004592437471314888,-75.61343,40.32922,Discharge Monitoring Reports
BRADFORD STP,5.05658333333333,0.06558084363742313,0.07639125304058969,-78.62869,41.98468,Discharge Monitoring Reports
BRADY TWP SEW SYS,0.0180213333333333,0.0002337258511454467,5.6371987028089225e-05,-76.94954,41.17885,Discharge Monitoring Reports
BRADYS BEND STP,0.0358333333333333,0.0004647367748989262,0.00013581719711518086,-79.621973,40.998347,Discharge Monitoring Reports
BRANFORD WATER POLLUTION CONTROL FACILITY,3.675,0.047662539007075955,0.05078361245891261,-72.805216,41.263575,Discharge Monitoring Reports
BRANFORD WPCF,4.0,0.061783921939244445,0.05659886004025106,-72.80614,41.26272,Clean Watershed Needs Survey
BRATTLEBORO WASTEWATER TREATMENT FACILITY,1.16416666666667,0.015098541268227959,0.011668354537863987,-72.549205,42.841045,Discharge Monitoring Reports
BRATTON TWP STP,0.03975,0.0005155335851785767,0.00015509226874384926,-77.811187,40.38883,Discharge Monitoring Reports
BREWERTON WPCP,,,,-76.155306,43.242139,Discharge Monitoring Reports
BREWSTER (V) STP,,,,-73.6185,41.392194,Discharge Monitoring Reports
BRIAR CREEK PARK STP,0.0001555555555555,2.017461968552759e-06,1.2899593039604662e-07,-76.280197,41.065837,Discharge Monitoring Reports
BRICK ROW WWTP,0.0084166666666666,0.00010915910294137492,2.1283583373281644e-05,-73.79787,42.27621,Discharge Monitoring Reports
BRIDGEPORT BORO STP,0.4725,0.006128040729481195,0.0036812255132530787,-75.325448,40.102234,Discharge Monitoring Reports
