Facility_name,Million_gallons_per_day_flow,GHGI_emissions_mol_per_s,Moore_Emissions_mol_per_s,longitude,latitude,Source
BERGEN COUNTY UTILITIES AUTHORITY,3.88325,0.05036341621747693,0.05449405023100319,-73.98306,40.81476,Discharge Monitoring Reports
BERGEN POINT STP & BERGEN AVE DOCK,28.8860273972603,0.37463439662078474,0.7100808360875328,-73.342389,40.674306,Discharge Monitoring Reports
BERK CO PSSD - HONEYWOOD WWTP,0.05,0.0007722990242405556,0.00020799704104064963,-77.9306,39.5894,Clean Watershed Needs Survey
BERK CO PSSD - MARLOWE GARDENS TP,0.015,0.00023168970727216668,4.4576230970454535e-05,-77.8878,39.5839,Clean Watershed Needs Survey
BERK CO PSSD - MARLOWE WWTP,0.05,0.0007722990242405556,0.00020799704104064963,-77.8692,39.5972,Clean Watershed Needs Survey
BERK CO PSSD - NORTHWINDS WWTP,0.013,0.00020079774630254446,3.7118751828985345e-05,-77.8494,39.5991,Clean Watershed Needs Survey
BERK CO PSSD - POTOMAC WWTP,0.04,0.0006178392193924444,0.00015634128750078937,-77.89618,39.55306,Clean Watershed Needs Survey
BERK CO PSSD - TOMAHAWK WWTP,0.006,9.267588290886667e-05,1.3803589324417128e-05,-78.02,39.5514,Clean Watershed Needs Survey
BERK CO PSSD - WOODS II WWTP,0.1,0.0015445980484811112,0.000504876317171055,-78.0811,39.5629,Clean Watershed Needs Survey
BERKELEY CO PSSD - MIDWAY WWTP,0.015,0.00023168970727216668,4.4576230970454535e-05,-77.862199,39.583926,Clean Watershed Needs Survey
BERKELEY HEIGHTS WPCF,1.36883333333333,0.017752944801138953,0.014354709963882108,-74.441069,40.689407,Discharge Monitoring Reports
BERKS-MONTGOMERY MORYSVILLE STP,0.34,0.004409595445552607,0.002416248441255905,-75.650742,40.321207,Discharge Monitoring Reports
BERLIN BORO STP,0.321666666666667,0.00417182314211595,0.0022508345153791913,-78.955754,39.899182,Discharge Monitoring Reports
BERNARDSVILLE BORO,0.602896833333333,0.007819209207072804,0.005028079652281231,-74.57877,40.713771,Discharge Monitoring Reports
